[2025-11-13 12:37:13 UTC] Integrator started. Poll interval: 30s
Thresholds: {'cpu': 80.0, 'memory': 80.0, 'disk': 90.0, 'net_recv_kbps': 5000.0, 'net_trans_kbps': 3000.0}
Cooldowns: {'cpu': 300, 'memory': 300, 'disk': 600, 'net_recv_kbps': 300, 'net_trans_kbps': 300}
[2025-11-13 12:37:13 UTC] 2025-11-13 17:16:10 -> CPU:8.52% MEM:47.97% DISK:44.46% RX:0.13KB/s TX:0.12KB/s
[2025-11-13 12:37:43 UTC] 2025-11-13 17:16:10 -> CPU:8.52% MEM:47.97% DISK:44.46% RX:0.13KB/s TX:0.12KB/s
[2025-11-13 12:38:13 UTC] 2025-11-13 17:16:10 -> CPU:8.52% MEM:47.97% DISK:44.46% RX:0.13KB/s TX:0.12KB/s
[2025-11-13 12:49:06 UTC] Integrator started. Poll interval: 30s
Thresholds: {'cpu': 80.0, 'memory': 80.0, 'disk': 90.0, 'net_recv_kbps': 5000.0, 'net_trans_kbps': 3000.0}
Cooldowns: {'cpu': 300, 'memory': 300, 'disk': 600, 'net_recv_kbps': 300, 'net_trans_kbps': 300}
[2025-11-13 12:49:06 UTC] 2025-11-13 17:16:10 -> CPU:8.52% MEM:47.97% DISK:44.46% RX:0.13KB/s TX:0.12KB/s
[2025-11-13 12:49:36 UTC] 2025-11-13 17:16:10 -> CPU:8.52% MEM:47.97% DISK:44.46% RX:0.13KB/s TX:0.12KB/s
[2025-11-13 14:50:53 UTC] Integrator started. Poll interval: 30s
Thresholds: {'cpu': 20.0, 'memory': 80.0, 'disk': 90.0, 'net_recv_kbps': 5000.0, 'net_trans_kbps': 3000.0}
Cooldowns: {'cpu': 300, 'memory': 300, 'disk': 600, 'net_recv_kbps': 300, 'net_trans_kbps': 300}
[2025-11-13 14:50:53 UTC] 2025-11-13 20:19:54 -> CPU:17.74% MEM:55.24% DISK:44.48% RX:4.63KB/s TX:7.02KB/s
[2025-11-13 14:51:23 UTC] 2025-11-13 20:19:54 -> CPU:17.74% MEM:55.24% DISK:44.48% RX:4.63KB/s TX:7.02KB/s
[2025-11-13 14:51:53 UTC] 2025-11-13 20:19:54 -> CPU:17.74% MEM:55.24% DISK:44.48% RX:4.63KB/s TX:7.02KB/s
[2025-11-13 14:52:23 UTC] 2025-11-13 20:22:23 -> CPU:0.92% MEM:48.95% DISK:44.48% RX:0.01KB/s TX:0.04KB/s
[2025-11-13 14:52:53 UTC] 2025-11-13 20:22:53 -> CPU:8.63% MEM:49.45% DISK:44.48% RX:0.47KB/s TX:0.41KB/s
[2025-11-13 14:53:23 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:53:53 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:54:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:54:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:55:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:55:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:56:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:56:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:57:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:57:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:58:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:58:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:59:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 14:59:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:00:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:00:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:01:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:01:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:02:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:02:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:03:24 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:03:54 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
